                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.32761,                0.41984,                0.03525,                0.97975,                0.95781,                0.96884,                0.78134,                0.23969,                 0.3373,                0.02938,             2.9737e-05,             2.9737e-05,             2.9737e-05
                     64,                0.32502,                0.41947,                0.03544,                0.97868,                0.96001,                0.96809,                0.78007,                0.23852,                0.33803,                0.02974,             2.8975e-05,             2.8975e-05,             2.8975e-05
                     65,                0.32658,                0.41987,                0.03579,                0.98167,                0.96198,                 0.9698,                0.78282,                0.23881,                0.33622,                0.03067,             2.8213e-05,             2.8213e-05,             2.8213e-05
                     66,                0.32471,                0.41605,                0.03558,                0.98396,                 0.9596,                0.96947,                0.78207,                0.23903,                0.33825,                0.03047,             2.7451e-05,             2.7451e-05,             2.7451e-05
                     67,                0.32287,                 0.4191,                0.03488,                0.98247,                0.96464,                0.97065,                 0.7832,                0.23857,                0.33598,                 0.0309,             2.6688e-05,             2.6688e-05,             2.6688e-05
                     68,                0.32335,                0.41817,                0.03517,                0.98289,                0.96016,                0.96873,                0.78171,                0.23776,                0.33724,                0.02983,             2.5926e-05,             2.5926e-05,             2.5926e-05
                     69,                0.32415,                0.41508,                0.03511,                0.98489,                0.96218,                 0.9703,                 0.7831,                0.23907,                0.33401,                0.03048,             2.5164e-05,             2.5164e-05,             2.5164e-05
                     70,                 0.3199,                0.41226,                0.03427,                0.98399,                0.96388,                0.97175,                0.78592,                0.23699,                0.33232,                0.02932,             2.4401e-05,             2.4401e-05,             2.4401e-05
                     71,                0.32127,                0.41279,                0.03451,                 0.9839,                0.96492,                0.97229,                 0.7883,                0.23677,                0.33143,                0.02976,             2.3639e-05,             2.3639e-05,             2.3639e-05
                     72,                 0.3226,                0.41117,                0.03461,                0.98038,                0.96356,                0.96962,                0.78371,                 0.2375,                0.33394,                0.02926,             2.2877e-05,             2.2877e-05,             2.2877e-05
                     73,                0.32176,                0.41095,                0.03439,                0.98393,                0.96052,                0.97019,                0.78638,                 0.2376,                0.33161,                0.02939,             2.2114e-05,             2.2114e-05,             2.2114e-05
                     74,                 0.3221,                0.41451,                0.03482,                0.98269,                0.95751,                0.96741,                0.78392,                0.23692,                0.33419,                0.02961,             2.1352e-05,             2.1352e-05,             2.1352e-05
                     75,                0.31961,                0.41149,                0.03461,                0.98146,                0.96431,                0.97096,                0.78604,                0.23725,                0.33179,                0.02964,              2.059e-05,              2.059e-05,              2.059e-05
                     76,                0.31982,                0.41281,                0.03506,                0.98381,                0.96039,                0.97153,                0.78597,                0.23712,                0.33059,                0.02914,             1.9827e-05,             1.9827e-05,             1.9827e-05
                     77,                0.31468,                0.40422,                0.03427,                0.98469,                0.96051,                0.97013,                0.78611,                0.23637,                0.33105,                0.02905,             1.9065e-05,             1.9065e-05,             1.9065e-05
                     78,                 0.3178,                0.40583,                0.03418,                0.98383,                0.95684,                0.96914,                0.78345,                0.23867,                0.33342,                0.02994,             1.8303e-05,             1.8303e-05,             1.8303e-05
                     79,                0.31512,                0.40458,                0.03402,                0.98512,                0.96167,                0.97116,                0.78781,                0.23677,                0.32976,                 0.0287,             1.7541e-05,             1.7541e-05,             1.7541e-05
                     80,                0.31531,                0.40619,                0.03407,                0.98283,                0.96312,                0.97174,                0.78808,                0.23568,                0.33155,                 0.0287,             1.6778e-05,             1.6778e-05,             1.6778e-05
                     81,                0.31691,                0.40774,                0.03372,                0.98266,                0.96286,                0.97115,                0.78651,                0.23497,                0.33241,                0.02829,             1.6016e-05,             1.6016e-05,             1.6016e-05
                     82,                0.31784,                0.40605,                0.03427,                0.98187,                0.96277,                0.97069,                0.78575,                0.23646,                 0.3311,                0.02896,             1.5254e-05,             1.5254e-05,             1.5254e-05
                     83,                0.31666,                0.40276,                0.03385,                0.98491,                0.96255,                 0.9721,                0.78758,                0.23599,                 0.3277,                0.02903,             1.4491e-05,             1.4491e-05,             1.4491e-05
                     84,                0.31156,                0.39959,                0.03347,                0.98292,                0.96225,                0.97179,                0.78769,                0.23536,                0.33081,                0.02956,             1.3729e-05,             1.3729e-05,             1.3729e-05
                     85,                0.31503,                0.40043,                0.03369,                0.98329,                0.96323,                0.97126,                0.78878,                0.23522,                0.32913,                0.02914,             1.2967e-05,             1.2967e-05,             1.2967e-05
                     86,                0.31696,                0.40392,                0.03392,                  0.983,                0.96429,                0.97088,                0.78901,                0.23516,                0.32993,                0.02877,             1.2205e-05,             1.2205e-05,             1.2205e-05
                     87,                0.31347,                0.39823,                0.03379,                0.98425,                0.96345,                 0.9713,                0.78748,                0.23517,                0.32977,                0.02865,             1.1442e-05,             1.1442e-05,             1.1442e-05
                     88,                0.31264,                0.40164,                0.03353,                0.98526,                0.96541,                0.97156,                0.78646,                0.23566,                0.32933,                0.02874,              1.068e-05,              1.068e-05,              1.068e-05
                     89,                0.31095,                 0.3989,                 0.0334,                0.98467,                0.96521,                0.97325,                0.78826,                0.23542,                0.32768,                0.02898,             9.9176e-06,             9.9176e-06,             9.9176e-06
                     90,                0.31329,                0.39945,                0.03344,                0.98435,                0.96393,                0.97302,                0.78801,                0.23548,                0.32952,                0.02863,             9.1553e-06,             9.1553e-06,             9.1553e-06
                     91,                0.31062,                0.39774,                0.03342,                0.98373,                0.96344,                 0.9724,                0.78857,                0.23499,                0.32932,                0.02877,              8.393e-06,              8.393e-06,              8.393e-06
                     92,                0.31091,                0.39386,                0.03319,                0.98385,                0.96516,                0.97258,                0.78786,                0.23512,                0.32883,                0.02855,             7.6307e-06,             7.6307e-06,             7.6307e-06
                     93,                0.31226,                0.39881,                0.03341,                 0.9831,                 0.9667,                0.97378,                0.78877,                0.23487,                0.33048,                0.02847,             6.8684e-06,             6.8684e-06,             6.8684e-06
                     94,                0.30888,                0.39644,                0.03351,                0.98429,                0.96564,                0.97391,                0.78884,                0.23428,                0.32851,                 0.0287,             6.1061e-06,             6.1061e-06,             6.1061e-06
                     95,                0.31095,                0.39953,                 0.0335,                0.98357,                0.96733,                0.97343,                0.78942,                0.23486,                0.32779,                0.02872,             5.3438e-06,             5.3438e-06,             5.3438e-06
                     96,                0.31172,                0.39523,                0.03396,                0.98533,                0.96549,                0.97346,                0.78971,                0.23509,                0.32767,                0.02875,             4.5815e-06,             4.5815e-06,             4.5815e-06
                     97,                0.31022,                0.39417,                0.03322,                0.98467,                0.96625,                0.97334,                0.78896,                0.23575,                0.32731,                0.02886,             3.8192e-06,             3.8192e-06,             3.8192e-06
                     98,                0.31152,                0.39856,                0.03337,                0.98486,                0.96559,                 0.9729,                0.78912,                 0.2348,                 0.3275,                0.02883,             3.0569e-06,             3.0569e-06,             3.0569e-06
                     99,                0.31175,                0.39354,                0.03332,                0.98383,                0.96587,                0.97365,                0.78942,                0.23536,                0.32716,                0.02888,             2.2946e-06,             2.2946e-06,             2.2946e-06
                    100,                 0.3105,                0.39522,                0.03312,                0.98513,                0.96627,                0.97448,                0.79077,                0.23479,                0.32707,                0.02869,             1.5323e-06,             1.5323e-06,             1.5323e-06
